Taxon	Taxon Level	Function	Type	growth morphology	Likelihood	Notes	Citation/Source
Floccularia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Floricola	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Floromyces	7	Biotroph	Plant pathogen	Facultative yeast	Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fluctua	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fluviatispora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Foliocryphia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Follmannia	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Follmanniella	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fomes	7	Saprotroph	Wood Rot		Highly Probable	White Rot	"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Fomitella	7	Saprotroph	Wood Rot		Highly Probable	White Rot	"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Fomitiporella	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fomitiporia	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fomitopsis	7	Saprotroph	Wood Rot		Highly Probable	Brown Rot	"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Fonsecaea	7	Saprotroph		Facultative yeast	Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fontanospora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Foraminella	7	Symbiotroph	Lichenized		Highly Probable	Syn. Parmeliopsis	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Forssellia	7	Symbiotroph	Lichenized		Highly Probable	Syn. Lichinella	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Fracchiaea	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fragosphaeria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Frankia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Frantisekia	7	saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Franzpetrakia	7	Biotroph	Plant pathogen	Facultative yeast	Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fraseriella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fremineavia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fremitomyces	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Frommea	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Frommea obtusa	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Frommeella	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fromme�lla	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Frondicola	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Frutidella	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Fuckelia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fugomyces	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fulgensia	7	Symbiotroph	Lichenized		Highly Probable	Syn. Gyalolechia	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Fulgensia	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fulgidea	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Fulvia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fulvia fulva	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fulvifomes	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fulvisporium	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fulvophyton	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Fumagospora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fumiglobus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Funalia	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Funneliformis	7	Symbiotroph	Arbuscular mycorrhizal		Highly Probable		"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Furculomyces	7	Symbiotroph	Animal gut		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Furia	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fusarium	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fusarium acuminatum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium affine	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium arthrosporioides	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium avenaceum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium crookwellense	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium culmorum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium decemcellare	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium decemcellulare	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium episphaeria	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium equiseti	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium eumartii	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium eylarioides	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium gibbosum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium graminearum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium heterosporum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium lateritium	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium merismoides	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium moniliforme	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium nivale	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium oxysporum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium pallidoroseum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium peltigerae	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Fusarium poae	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium proliferatum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium pseudograminearum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium redolens	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium rimosum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium roseum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium sacchari	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium sambucinum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium scirpi	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium seedling	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium semitectum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium solani	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium sporotrichiodes	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium stilboides	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium subglutinans	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium sulphureum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium tabacinum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium tricinctum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium udum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusarium verticillioides	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fuscidea	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Fuscoboletinus	7	Symbiotroph	Ectomycorrhizal		Highly Probable	Syn. Suillus	"http://mycorrhizas.info/ecmf.html, Kretzer et al 1996. Mycologia 88, 776_785."
Fuscocerrena	7	Saprotroph	Wood Rot		Highly Probable	White Rot	"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Fuscoderma	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fuscogyroporus	7	Symbiotroph	Ectomycorrhizal		Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45"
Fuscolachnum	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fuscopannaria	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Fuscoporia	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fuscoscypha	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fusculina	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fuscutata	7	Symbiotroph	Arbuscular mycorrhizal		Highly Probable		"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Fusicladiella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fusicladium	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fusicladium carpophilum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusicladium effusum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusicladium pisicola	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusicladium pyrorum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusicladosporium	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fusicoccum	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fusicoccum aesculi	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusicoccum amygdali	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusicoccum cajani	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusicoccum putrefaciens	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Fusidium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Fusoidispora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Gabarnaudia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Gaertneriomyces	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Gaeumannomyces	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Gaeumannomyces graminis	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Gaeumannomyces incrustans	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Gaeumannomyces wongoonoo	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Gaillardiella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Galactinia	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263"
Galactomyces	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Galactomyces candidum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Galactomyces citriaurantii	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Galactomyces citriaurantii	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Galactomyces geotrichum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Galeoscypha	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Galera	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Galerella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Galerina	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Galeropsis	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Galiella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Gallacea	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Gallowaya	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Galzinia	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Gambleola	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Gamsiella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Gamsylella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Gamundia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Gangliophragma	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ganoderma	7	Biotroph|Saprotroph	Plant pathogen|Wood Rot		Highly Probable	White Rot	"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Gasparrinia	7	Symbiotroph	Lichenized		Highly Probable	Syn. Caloplaca	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Gassicurtia	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Gasterellopsis	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Gasteroagaricoides	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Gastroboletus	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Gastrocybe	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Gastrolactarius	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263"
Gastroleccinum	7	Symbiotroph	Ectomycorrhizal		Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45"
Gastropila	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Gastrosuillus	7	Symbiotroph	Ectomycorrhizal		Highly Probable		List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga
Gastrotylopilus	7	Symbiotroph	Ectomycorrhizal		Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; http://mycorrhizas.info/ecmf.html"
Gauthieromyces	7	Symbiotroph	Animal gut		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Gautieria	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Geaster	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
